,Retorno anualizado,Volatilidade anualizada,Retorno/Volatilidade,Drawdown maximo,Alpha (anual),Beta
Modelo 1 - Maior Retorno,0.12782817238647537,0.1558433390483574,0.8202350717524791,-0.17593609651307202,0.00917872533200148,0.8968156527180183
Modelo 2 - Maior Sharpe,0.1255563997929776,0.13674999012250205,0.918145585827852,-0.17234592217557618,0.022770936236774952,0.7399401561981845
Modelo 3 - Maior Alpha,0.18938184134743574,0.1728029251452972,1.0959411780107227,-0.18911763211084914,0.05563125559434856,0.9944625612084423
Modelo 4 - Menor Volatilidade,0.0993602844981103,0.13096830865453432,0.7586589879556355,-0.12982910168163528,0.03521855234447058,0.42380918359970743
Benchmark - S&P 500,0.13159017188762356,0.15157813274555823,0.8681342717719922,-0.24769522239058833,0.0,1.0
