ticker,ann_return,ann_vol,sharpe,max_dd,alpha,beta,info_ratio,pct_positive,skewness
A,0.07921718112794984,0.2551851313953529,0.34850432241942414,-0.38857377689048517,-0.030139583723079122,1.4653394415971437,0.03749827221821542,0.5084745762711864,0.16541627171707926
AAPL,0.18794523786014383,0.2470077566865856,0.7441091135854724,-0.39542088082603916,0.1155901951714482,0.9064109806399027,0.45764096658345726,0.576271186440678,0.007900212092985331
ABT,0.18823921380040431,0.15610827427689997,1.064005025373012,-0.20654936887805805,0.09495405806450519,0.9202280094638468,0.7443807956675295,0.6610169491525424,-0.46181075886860756
ACGL,0.19195857813710826,0.14157020050533048,1.1798713065973838,-0.10454012338273651,0.1294191264198088,0.5482815353597961,0.6247221534130819,0.6440677966101694,-0.30360355915099657
ACN,0.18176246537200091,0.1897379913096044,0.8765632041578882,-0.12810321817672132,0.07465115265738853,1.1539639854352466,0.6291452754958828,0.6949152542372882,-0.24746924138022158
ADBE,0.23672664585440883,0.22267400062531503,0.9817457270039937,-0.3020502647761132,0.11687035626603692,1.319058928086567,0.8305702083721304,0.6610169491525424,0.3774508845811236
ADI,0.10637168161232835,0.19938328048600581,0.5082531614945525,-0.23511493079768794,0.00671439083851455,1.1605677784460455,0.13424736924203756,0.5932203389830508,0.15595680695040387
ADM,0.04754068337475159,0.2507722799368496,0.2334546747894298,-0.32553900790957546,-0.038049811909325215,1.1928252195485995,-0.10969891679886562,0.5932203389830508,-0.25727914480166036
ADP,0.18438624724329267,0.13451153793778461,1.1853761523654773,-0.13207840943601848,0.09217769003264986,0.8700079835028038,0.871154189033113,0.6440677966101694,0.39645799817034477
ADSK,0.08563739209849452,0.32800946970647715,0.35047950389931837,-0.38216982662633264,-0.05091307886795626,2.0490929674893574,0.1307339082631568,0.5084745762711864,0.4330607836315294
AEE,0.14181913318697403,0.14445951373487353,0.8578877934939381,-0.16600564260629885,0.10263440887652941,0.3167290603175493,0.26349413815635264,0.6271186440677966,-0.22325787437108302
